rn,jobId,customerId,customer_name,customer_phone,customer_line,job_category,job_detail,measurements,budget,referral_code,status,assigned_tailor,created_at,updated_at,payment_status,payment_ref,stock_consumed
RN-20260513-0001,RN-20260513-0001,CUST-001,สมชาย,0812345678,@somchai,สูท,"ตัดสูทผู้ชาย 1 ชุด สีดำ","{\"chest\":38,\"waist\":32}",3500,,new,,2026-05-01T09:12:00Z,2026-05-01T09:12:00Z,pending,
RN-20260513-0002,RN-20260513-0002,CUST-002,สมหญิง,0898765432,@somying,เดรส,"ตัดเดรสสั้น 1 ตัว ผ้าไหมเทียม","{\"chest\":34,\"waist\":28}",2500,,assigned,TAILOR-001,2026-05-02T10:05:00Z,2026-05-02T11:00:00Z,pending,
RN-20260513-0003,RN-20260513-0003,CUST-003,อนันต์,0820001111,@anan,กางเกง,"ตัดกางเกงสแลค 2 ตัว สีเทา","{\"waist\":34,\"length\":40}",1800,REF-ABC123,sewing,TAILOR-002,2026-05-03T12:00:00Z,2026-05-03T13:30:00Z,pending,MAT-002:2
RN-20260513-0004,RN-20260513-0004,CUST-004,กชกร,0831112222,@kot,เสื้อ,"ตัดเสื้อเชิ้ตผู้ชาย 3 ตัว","{\"chest\":40,\"waist\":34}",2100,,assigned,TAILOR-001,2026-05-04T09:20:00Z,2026-05-04T09:20:00Z,pending,
RN-20260513-0005,RN-20260513-0005,CUST-005,มาลิน,0853334444,@malin,ชุดแต่งงาน,"ปรับไซส์ชุดเจ้าสาว 1 ชุด","{\"chest\":32,\"waist\":26}",12000,,new,,2026-05-05T14:10:00Z,2026-05-05T14:10:00Z,pending,
RN-20260513-0006,RN-20260513-0006,CUST-006,สมปอง,0867778888,@sompong,กางเกง,"ซ่อมขากางเกง 2 ตัว","{\"waist\":36}",600,,finished,TAILOR-003,2026-05-06T08:30:00Z,2026-05-09T10:00:00Z,paid,PAY-20260506-0001,MAT-001:1
RN-20260513-0007,RN-20260513-0007,CUST-007,นาตยา,0875556666,@nata,กระโปรง,"ตัดกระโปรงสั้น 1 ตัว สีแดง","{\"waist\":28,\"length\":18}",1700,,sewing,TAILOR-002,2026-05-07T11:00:00Z,2026-05-08T15:00:00Z,pending,MAT-001:1
RN-20260513-0008,RN-20260513-0008,CUST-008,ธวัชชัย,0842223333,@t,สูท,"ตัดสูทเด็ก 1 ตัว","{\"chest\":30,\"waist\":26}",1800,,assigned,TAILOR-004,2026-05-08T13:45:00Z,2026-05-08T13:45:00Z,pending,
RN-20260513-0009,RN-20260513-0009,CUST-009,จิรพร,0819990001,@jiraporn,เดรส,"ตัดเดรสยาว 1 ตัว ผ้าพิมพ์ลาย","{\"chest\":36,\"waist\":30}",4200,,cancelled,,2026-05-09T09:00:00Z,2026-05-09T09:10:00Z,cancelled,
RN-20260513-0010,RN-20260513-0010,CUST-010,วรัญญา,0824445556,@waranya,เสื้อ,"ปรับขนาดเสื้อ 1 ตัว","{\"chest\":38}",500,,finished,TAILOR-001,2026-05-10T10:00:00Z,2026-05-10T12:00:00Z,paid,PAY-20260510-0002,MAT-003:3
